code,x,y
BX03,-13.4620071874516,-16.3971539215081
BX04,-10.8376955237619,-17.1449671597001
BX05,-15.9867455234885,-12.3249014393864
BX06,-9.49882460668997,-15.5553873418333
BX07,-12.1352781228627,-14.5241528062495
BX08,7.03297228707788,2.55653629304496
BX09,5.60945252136684,3.44740604729859
BX10,6.04884031382005,14.412060814008
BX11,13.6670220936361,-0.775770707765979
BX12,5.23735579304658,10.3645570740935
BK01,0.475884930380681,5.47861991643622
BK02,1.69054048341618,-10.370983527752
BK03,-0.318462529520462,-9.35112627469464
BK04,-6.94513159111304,-11.5303639876354
BK05,3.07929928277816,10.3782989469507
BK06,1.12674972947752,-7.22854994709572
BK07,2.68973682295567,1.75725817851449
BK08,-11.3444565306415,-10.4798796164396
BK09,-12.9376529265562,-12.0307594808314
BK10,5.71784266437839,7.42160638691572
BK11,13.2162168475303,3.25817768893073
BK12,12.497844647518,1.40313447299021
BK13,4.94586445440375,-1.28301161730997
BK14,16.350463346122,-0.740378184669014
BK15,8.25956524209061,9.83260642594019
BK16,-10.2424188253021,-12.4333472530058
BK17,15.0427216031838,1.31483160515273
BK18,4.62951109991495,23.1007710169349
QN01,1.87946065470554,7.6205660826726
QN02,1.56859244459322,3.5554976525112
QN03,15.0068718281395,-3.02559390591937
QN04,-5.11709179603026,-10.5613458327972
QN05,4.51100217294655,19.133649395238
QN06,17.3321456996306,-2.32725345175956
QN07,7.46941256919726,27.8776412418048
QN08,5.73692597103591,16.8554252888017
QN09,14.7162246101553,5.18395354018895
QN10,3.68080633416742,15.2673276382371
QN11,6.36477195319223,21.4861118381039
QN12,7.66732498318036,23.1121317012403
QN13,6.03831869457282,25.5267276635858
QN14,2.95533583243725,22.2305911187305
SI01,5.38190109173261,28.1011924837795
SI02,5.93223400026338,31.4920760118885
SI03,7.80527717042995,31.6500483358276
MN01,-14.8917976379314,-20.1853438022466
MN02,-20.5751504023441,-14.0645335971045
MN03,-11.7016008729077,-19.2676097916358
MN04,-8.43812164744051,-19.1425097992471
MN05,-18.7839103226966,-19.0560128183062
MN06,-19.0009059905718,-15.4276130474856
MN07,5.38568957644602,-8.09105592139467
MN08,-10.9635871250003,-21.9438707859331
MN09,-18.2436039099845,-11.9543091589111
MN10,-16.6896366317412,-14.3399147622826
MN11,5.76757629870068,-5.0941516350194
MN12,5.0168626738559,-3.75076322808459
BX01,-6.27067675367623,-17.3177095628578
BX02,-3.14986226476724,-16.0984804929593
